Open,Minimum,Maximum,Close,Date,Position
"1,484,460","1,479,380","1,512,170","1,480,310",2018/02/05,Low
"1,478,230","1,477,540","1,489,310","1,483,310",2018/02/04,High
"1,473,610","1,472,230","1,483,770","1,478,690",2018/02/03,High
"1,457,450","1,456,300","1,474,300","1,472,920",2018/02/02,High
"1,461,380","1,453,990","1,462,990","1,457,910",2018/01/31,High
"1,443,600","1,442,910","1,457,220","1,455,140",2018/01/30,High
"1,440,370","1,436,900","1,444,290","1,442,680",2018/01/29,High
"1,448,450","1,438,060","1,450,990","1,440,600",2018/01/28,Low
"1,439,210","1,439,210","1,448,450","1,447,290",2018/01/27,High
"1,442,910","1,434,830","1,449,140","1,438,290",2018/01/26,Low
"1,451,680","1,450,060","1,456,070","1,454,450",2018/01/24,High
"1,446,370","1,443,600","1,455,600","1,448,450",2018/01/23,High
"1,444,290","1,438,750","1,449,830","1,442,680",2018/01/22,High
"1,442,680","1,433,210","1,454,680","1,441,520",2018/01/21,Low
"1,422,590","1,422,130","1,445,220","1,441,750",2018/01/20,High
"1,407,350","1,407,350","1,422,820","1,422,130",2018/01/19,High
"1,413,360","1,399,970","1,413,360","1,403,890",2018/01/17,Low
"1,406,200","1,402,740","1,414,510","1,413,820",2018/01/16,High
"1,402,740","1,398,580","1,405,970","1,402,040",2018/01/15,Low
"1,394,420","1,394,190","1,404,580","1,402,500",2018/01/14,High
"1,413,360","1,391,890","1,421,440","1,393,270",2018/01/13,Low
"1,391,890","1,388,190","1,412,200","1,411,050",2018/01/12,High
"1,382,420","1,381,270","1,387,500","1,385,880",2018/01/10,High
"1,370,410","1,367,880","1,384,500","1,384,270",2018/01/09,High
"1,374,110","1,365,340","1,374,110","1,369,490",2018/01/08,Low
"1,370,880","1,363,260","1,380,110","1,372,260",2018/01/07,High
"1,359,560","1,358,870","1,372,720","1,372,030",2018/01/06,High
"1,360,260","1,351,250","1,367,880","1,359,790",2018/01/05,Low
"1,397,200","1,355,180","1,397,200","1,364,180",2018/01/03,Low
"1,391,190","1,383,110","1,402,970","1,400,430",2018/01/02,High
"1,369,720","1,369,720","1,386,110","1,383,340",2018/01/01,High
"1,347,100","1,346,870","1,371,570","1,369,950",2017/12/31,High
"1,345,940","1,333,710","1,355,410","1,347,560",2017/12/30,High
"1,326,320","1,325,400","1,344,330","1,343,630",2017/12/29,High
"1,311,310","1,311,310","1,318,700","1,317,780",2017/12/27,High
"1,303,930","1,303,930","1,312,470","1,310,620",2017/12/26,High
"1,298,620","1,298,620","1,303,460","1,302,770",2017/12/25,High
"1,297,000","1,295,150","1,298,850","1,298,150",2017/12/24,High
"1,295,610","1,293,070","1,300,690","1,296,540",2017/12/23,High
"1,296,540","1,291,460","1,302,310","1,295,380",2017/12/22,High
"1,285,920","1,284,300","1,287,760","1,286,840",2017/12/20,No Change
"1,287,530","1,283,840","1,290,540","1,286,840",2017/12/19,High
"1,281,300","1,281,300","1,289,840","1,285,230",2017/12/18,High
"1,280,150","1,278,530","1,282,450","1,281,530",2017/12/17,High
"1,280,610","1,277,610","1,282,220","1,279,680",2017/12/16,Low
"1,281,530","1,277,610","1,284,760","1,281,990",2017/12/15,Low
"1,283,840","1,279,220","1,285,690","1,282,450",2017/12/13,High
"1,281,990","1,277,380","1,283,610","1,277,840",2017/12/12,Low
"1,281,530","1,276,680","1,284,990","1,278,530",2017/12/11,Low
"1,285,460","1,282,690","1,291,460","1,284,300",2017/12/10,Low
"1,285,230","1,281,990","1,290,070","1,285,230",2017/12/09,High
"1,285,460","1,276,910","1,286,840","1,283,380",2017/12/08,Low
"1,304,850","1,296,080","1,304,850","1,297,230",2017/12/06,Low
